Município;IDH-M;IDH-R;IDH-L;IDH-E
Valparaíso;0,725;0,719;0,825;0,643
Ilha Comprida;0,725;0,696;0,821;0,66
Guapiaçu;0,725;0,728;0,866;0,605
Dois Córregos;0,725;0,725;0,853;0,616
Pinhalzinho;0,725;0,707;0,808;0,666
Itapuí;0,725;0,716;0,841;0,633
Vitória Brasil;0,725;0,686;0,811;0,685
Pontal;0,725;0,718;0,838;0,633
Pacaembu;0,725;0,717;0,843;0,631
Lupércio;0,724;0,679;0,83;0,674
Mesópolis;0,724;0,674;0,847;0,666
Itirapina;0,724;0,734;0,813;0,636
Mirante do Paranapanema;0,724;0,67;0,841;0,674
Pitangueiras;0,723;0,699;0,83;0,651
Taciba;0,723;0,682;0,809;0,684
Jaci;0,723;0,7;0,818;0,659
Gastão Vidigal;0,723;0,727;0,817;0,635
São Sebastião da Grama;0,723;0,699;0,82;0,724
Rinópolis;0,723;0,696;0,843;0,644
São Francisco;0,723;0,705;0,814;0,658
Trabiju;0,722;0,666;0,811;0,697
Arco-Íris;0,722;0,671;0,809;0,694
Cosmorama;0,722;0,705;0,849;0,63
Alvinlândia;0,722;0,721;0,791;0,659
Palmares Paulista;0,722;0,698;0,837;0,645
Queluz;0,722;0,665;0,823;0,687
Cardoso;0,722;0,695;0,853;0,636
Panorama;0,722;0,695;0,853;0,636
Ribeirão dos Índios;0,721;0,661;0,809;0,701
Anhembi;0,721;0,681;0,863;0,637
Aparecida d'Oeste;0,721;0,697;0,804;0,67
Capão Bonito;0,721;0,675;0,826;0,671
Lavínia;0,721;0,698;0,82;0,655
Martinópolis;0,721;0,703;0,832;0,641
Parisi;0,721;0,72;0,842;0,619
Rubiácea;0,721;0,684;0,82;0,668
Uchoa;0,721;0,708;0,823;0,644
Itapura;0,72;0,682;0,813;0,673
Lutécia;0,72;0,67;0,846;0,659
Icém;0,72;0,716;0,806;0,646
Caconde;0,72;0,701;0,858;0,62
São João das Duas Pontes;0,72;0,675;0,806;0,686
Cananéia;0,72;0,677;0,806;0,649
São Bento do Sapucaí;0,72;0,719;0,812;0,638
Gavião Peixoto;0,719;0,687;0,802;0,676
Mombuca;0,719;0,746;0,82;0,607
Guaraçaí;0,719;0,699;0,803;0,663
Guariba;0,719;0,712;0,811;0,645
Novais;0,719;0,712;0,822;0,634
Iperó;0,719;0,68;0,814;0,672
Angatuba;0,719;0,693;0,827;0,648
Itaporanga;0,719;0,681;0,835;0,653
Paraibuna;0,719;0,709;0,815;0,642
Coroados;0,719;0,704;0,816;0,648
Platina;0,719;0,691;0,824;0,652
Planalto;0,719;0,683;0,853;0,639
Salmourão;0,719;0,678;0,846;0,649
Mariápolis;0,718;0,684;0,83;0,651
Narandiba;0,718;0,659;0,839;0,67
Dobrada;0,718;0,691;0,818;0,655
Guará;0,718;0,71;0,826;0,63
Paulistânia;0,718;0,683;0,817;0,663
Paranapanema;0,717;0,697;0,839;0,631
Itobi;0,717;0,697;0,82;0,646
Jacupiranga;0,717;0,687;0,832;0,644
Ocauçu;0,717;0,679;0,83;0,653
Getulina;0,717;0,696;0,813;0,652
Campina do Monte Alegre;0,717;0,687;0,846;0,634
Piedade;0,716;0,694;0,848;0,624
Júlio Mesquita;0,716;0,659;0,813;0,686
Severínia;0,715;0,709;0,807;0,638
Queiroz;0,715;0,662;0,811;0,681
Pedregulho;0,715;0,716;0,82;0,623
Nova Canaã Paulista;0,715;0,673;0,806;0,623
Morungaba;0,715;0,726;0,802;0,627
Flórida Paulista;0,715;0,702;0,807;0,646
Aguaí;0,715;0,703;0,858;0,606
Santo Antônio do Jardim;0,714;0,703;0,835;0,62
Itaquaquecetuba;0,714;0,665;0,844;0,648
Torre de Pedra;0,714;0,679;0,829;0,647
Nantes;0,714;0,655;0,79;0,702
Avaí;0,714;0,674;0,83;0,65
Populina;0,714;0,699;0,804;0,647
Florínia;0,713;0,678;0,82;0,652
Guarantã;0,713;0,698;0,832;0,623
Nipoã;0,713;0,701;0,814;0,636
Cajuru;0,713;0,693;0,825;0,633
Irapuã;0,713;0,688;0,844;0,624
Bom Jesus dos Perdões;0,713;0,716;0,802;0,631
Itaí;0,713;0,692;0,83;0,63
Alambari;0,712;0,682;0,805;0,658
Ribeirão Bonito;0,712;0,712;0,811;0,625
Morro Agudo;0,712;0,716;0,836;0,604
Biritiba Mirim;0,712;0,71;0,795;0,64
Irapuru;0,712;0,691;0,839;0,622
Uru;0,712;0,678;0,832;0,639
Piquerobi;0,711;0,669;0,836;0,644
Jaborandi;0,711;0,679;0,845;0,627
Barão de Antonina;0,711;0,676;0,82;0,649
Paulicéia;0,711;0,692;0,811;0,64
Igaratá;0,711;0,683;0,855;0,616
Ribeirão Corrente;0,711;0,688;0,814;0,642
Ibiúna;0,71;0,7;0,832;0,614
Colômbia;0,71;0,689;0,802;0,647
Monteiro Lobato;0,71;0,692;0,826;0,627
São Miguel Arcanjo;0,71;0,708;0,799;0,633
Apiaí;0,71;0,662;0,835;0,647
Timburi;0,71;0,688;0,826;0,629
Brejo Alegre;0,71;0,702;0,826;0,618
Taiaçu;0,71;0,701;0,814;0,628
Taguaí;0,709;0,69;0,818;0,631
Gália;0,709;0,684;0,823;0,634
Juquitiba;0,709;0,68;0,791;0,662
Sandovalina;0,709;0,665;0,812;0,659
Ibirarema;0,708;0,692;0,817;0,628
Conchal;0,708;0,699;0,827;0,614
Sarapuí;0,707;0,699;0,814;0,621
Campos Novos Paulista;0,706;0,67;0,824;0,638
Itatinga;0,706;0,685;0,841;0,61
Cesário Lange;0,706;0,715;0,804;0,611
Santo Antônio do Pinhal;0,706;0,685;0,812;0,632
Borebi;0,705;0,674;0,846;0,615
Bofete;0,705;0,7;0,821;0,609
Itaju;0,705;0,696;0,823;0,613
Restinga;0,705;0,664;0,826;0,639
Avanhandava;0,705;0,688;0,817;0,623
Ribeirão Grande;0,705;0,643;0,807;0,676
Euclides da Cunha Paulista;0,704;0,663;0,802;0,655
Araçariguama;0,704;0,717;0,814;0,597
Tabatinga;0,704;0,7;0,818;0,609
Canas;0,704;0,646;0,797;0,677
Salto Grande;0,704;0,664;0,825;0,637
Iporanga;0,703;0,637;0,816;0,668
Itararé;0,703;0,668;0,803;0,649
Porangaba;0,703;0,696;0,864;0,578
São Pedro do Turvo;0,703;0,661;0,826;0,636
Fernão;0,703;0,668;0,843;0,617
Jeriquara;0,703;0,68;0,814;0,628
Riolândia;0,703;0,677;0,817;0,629
Francisco Morato;0,703;0,659;0,815;0,647
Ibaté;0,703;0,681;0,814;0,627
Santo Antônio de Posse;0,702;0,718;0,838;0,576
Pontalinda;0,702;0,677;0,847;0,604
Santo Antônio da Alegria;0,702;0,69;0,83;0,604
Luiziânia;0,702;0,682;0,815;0,623
Taquarituba;0,701;0,7;0,811;0,606
Pratânia;0,701;0,681;0,798;0,633
Ubarana;0,7;0,672;0,844;0,604
Juquiá;0,7;0,654;0,823;0,637
Alto Alegre;0,7;0,683;0,817;0,616
Barbosa;0,699;0,676;0,843;0,599
Joanópolis;0,699;0,707;0,824;0,585
Suzanápolis;0,699;0,665;0,813;0,631
Capela do Alto;0,699;0,673;0,823;0,617
Vargem;0,699;0,69;0,839;0,591
Ribeira;0,698;0,635;0,797;0,673
São Luís do Paraitinga;0,697;0,691;0,826;0,593
Guzolândia;0,697;0,676;0,808;0,621
Areias;0,697;0,627;0,803;0,672
Caiuá;0,697;0,665;0,802;0,635
Miracatu;0,697;0,645;0,803;0,653
Potim;0,697;0,651;0,806;0,646
Espírito Santo do Turvo;0,696;0,675;0,819;0,609
Pedro de Toledo;0,696;0,654;0,812;0,634
