City;Population;Area KM2;Farming;Industry;Public administration;Public services;Taxes;GDP;GDP per capita;HDI-M;HDI-R;HDI-L;HDI-E;FMDI;Latitude;Longitude
Sertãozinho;120116;403.09;92025.74;1586297.72;528909.19;2493480.23;662282.89;5362995.78;45063.4;0.76;0.77;0.86;0.67;0.86;-211.375.782;-479.913.741
Sete Barras;12654;1062.7;239231.73;24002.63;51983.97;87573.66;9473.27;412265.26;32548.97;0.67;0.65;0.83;0.56;0.65;-243.878.438;-479.265.798
Severínia;16806;140.46;22895.43;11800.14;70646.59;115911.15;12663.0;233916.31;14049.87;0.72;0.71;0.81;0.64;0.75;-20.810.753;-4.880.538
Silveiras;6121;414.78;6693.51;3176.07;28785.47;25514.7;3190.33;67360.08;11078.96;0.68;0.66;0.81;0.58;0.68;-2.266.384;-44.852.157
Socorro;38407;449.03;62307.35;94144.34;140302.77;454034.48;72143.58;822932.52;21530.9;0.73;0.74;0.83;0.63;0.78;-236.845.605;-467.114.358.329.044
Sorocaba;644397;450.38;33773.57;7980161.19;2565990.08;15269981.38;6002952.21;31852858.43;49970.28;0.8;0.79;0.84;0.76;0.85;-23.501.667;-47.458.056
Sud Mennucci;7664;594.74;55031.57;14280.42;38102.92;62736.59;9131.22;179282.73;23469.4;0.75;0.74;0.81;0.69;0.78;-20.687.225;-50.923.783
Sumaré;275147;153.46;108211.32;3819902.09;906742.91;5392021.58;3517698.25;13744576.16;50680.22;0.76;0.74;0.84;0.7;0.79;-228.217.964;-47.267.105
Suzano;285257;206.24;234420.62;3962427.33;993290.21;4005975.34;1564968.5;10761082.01;38102.04;0.76;0.71;0.87;0.72;0.79;-235.427.842;-463.108.391
Suzanápolis;3842;330.59;33651.83;117787.06;23139.97;61207.02;24834.01;260619.89;68765.14;0.7;0.66;0.81;0.63;0.82;-205.011.185;-510.246.771
São Bento do Sapucaí;10510;252.58;28556.14;11286.55;40249.94;106446.62;9655.96;196195.22;18683.48;0.72;0.72;0.81;0.64;0.67;-226.884.605;-457.329.767
São Bernardo do Campo;803771;409.53;7202.98;9186786.28;3008065.43;24370060.27;8108274.41;44680389.37;55875.28;0.8;0.81;0.86;0.75;0.84;-237.080.345;-465.506.747
