Município;IFDM
Paulo de Faria;0,6671
Murutinga do Sul;0,667
Iperó;0,6661
Ribeirão dos Índios;0,6659
São João de Iracema;0,6657
Queluz;0,6656
Óleo;0,6652
Chavantes;0,6651
Nova Luzitânia;0,6644
Natividade da Serra;0,662
Pongaí;0,6615
Emilianópolis;0,6611
Bananal;0,6606
Ouro Verde;0,6603
Arapeí;0,6581
São José do Barreiro;0,6575
Biritiba-Mirim;0,6556
Tremembé;0,6555
Sete Barras;0,6548
Sarutaiá;0,6543
Igaraçu do Tietê;0,6527
Caiuá;0,651
Irapuã;0,6474
Palmares Paulista;0,6466
Mariápolis;0,6444
União Paulista;0,6436
Getulina;0,6427
Pirajuí;0,6423
Espírito Santo do Turvo;0,6414
Ibirarema;0,6412
Pacaembu;0,6407
Guaiçara;0,6387
Santo Anastácio;0,6377
Balbinos;0,6368
Areias;0,6362
Gastão Vidigal;0,6344
São João das Duas Pontes;0,6294
Lavrinhas;0,6286
Marabá Paulista;0,6264
Monte Aprazível;0,625
Salmourão;0,6164
Mesópolis;0,6104
Álvaro de Carvalho;0,6075
Nipoã;0,602
Reginópolis;0,6004
;
Lagoinha;0,5925
